ID,Game Title,Source,Researcher,Included,Exclusion Notes,URL,Publication Year,Developers,Publisher,Still being used in classrooms?,Still accessible/downloadable?,Discontinued support?,Generalized Subject,Subject1,Subject2,Subject remainder (a++ b++ c),Teaching (College++ Training++ Work),Colleges that use the game,Cost,Game Type (Story++ Simulation...),Genre: single player++ multiplayer++ other (specify),Tags,Game Time,2D/3D,Sound,Platform,Available in Spanish,Available in other languages,Notes,Image
1212,Soul of a Place,,Stephen,FALSE,Undergrad+ STEM,https://learninggamesnetwork.org/microsites/soul/,,Learning Game Network,,UC,UC,,,Psychology,History,,College,,,Story,Singleplayer,,,,,,,,,
1213,Square Panda,,Stephen,FALSE,k-12 game,https://www.filamentgames.com/project/square-panda/,,Filament Games,,,,,,,,,,,,,,,,,,,Collection of alphabet/reading games++ early k-12,,Collection of alphabet/reading games++ early k-12,
1214,Superkids Online Fun,,Stephen,FALSE,k-12 game,https://www.filamentgames.com/project/superkids-online-fun/,,Filament Games,,,,,,,,,,,,,,,,,,,Reading and sentence comprehension++ k-12,,Reading and sentence comprehension++ k-12,
1215,Take Off!,,Stephen,FALSE,k-12 game,https://www.filamentgames.com/project/take-off/,,Filament Games,,,,,,,,,,,,,,,,,,,Basic addition and subtraction++ looks good for k-12,,Basic addition and subtraction++ looks good for k-12,
1216,That's Your Right!,,Stephen,FALSE,k-12 game,https://www.filamentgames.com/project/thats-your-right/,,Filament Games,,,,,,,,,,,,,,,,,,,Bill of rights for k-12,,Bill of rights for k-12,
1217,The World of Lexica,,Stephen,FALSE,Not Undergrad+ STEM,https://schellgames.com/portfolio/the-world-of-lexica,,Schell Games,,,,,,,,,,,,,,,,,,,,,,
1218,Twin Cities PBS,,Stephen,FALSE,k-12 game,https://www.filamentgames.com/project/twin-cities-pbs/,,Filament Games,,,,,,,,,,,,,,,,,,,Multiple relevant k-12 learning games in one,,Multiple relevant k-12 learning games in one,
1219,vet heart sounds,,Stephen,FALSE,Undergrad+ STEM,https://www.filamentgames.com/project/vet-heart-sounds/,,Filament Games,,,,,,,,,,,,,,,,,,,,,,
1220,Virulent,,Stephen,FALSE,Undergrad+ STEM,https://learninggamesnetwork.org/microsites/virulent/,,Learning Game Network,,UC,UC,,,Medical,Biology,,College,,,Story?,RTS,,,2D,,UC,Absolutely educational++ access is unclear but if cleared highly advise,,Absolutely educational++ access is unclear but if cleared highly advise,
1221,VR Explorations,,Stephen,FALSE,Not Undergrad+ STEM,https://www.filamentgames.com/project/vr-explorations/,,Filament Games,,,,,,,,,,,,,,,,,,,Purchased experience at Costco,,Purchased experience at Costco,
1222,Water Bears,,Stephen,FALSE,Not Undergrad+ STEM,https://schellgames.com/portfolio/water-bears,,Schell Games,,,,,,,,,,,,,,,,,,,,,,
1223,Zodiac,,Stephen,FALSE,Undergrad+ STEM,https://www.filamentgames.com/project/zodiac/,,Filament Games,,UC,UC,,,Computer Science,,,College,,,Puzzle,Singleplayer,,,3D,UC,PC,AI fundamentals and programming concepts++ I would play this for fun,,AI fundamentals and programming concepts++ I would play this for fun,
1224,3D Body Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1225,3D Dinosaur Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1226,A Slower Speed of Light,MIT Game Lab,Tristen,TRUE,,http://gamelab.mit.edu/games/,2012,MIT Game Lab,,Y,Y,N,Physics,Physics,Demonstrating,,Undergraduate,MIT,Free,Singleplayer,Puzzle++ Educational,3D,17 Minutes,N,UC,PC,,Not clear,A Slower Speed of Light is a first-person game in which players navigate a 3D space while picking up orbs that reduce the speed of light in increments. A custom-built++ open-source relativistic graphics engine allows the speed of light in the game to approach the player’s own maximum walking speed. Visual effects of special relativity gradually become apparent to the player++ increasing the challenge of gameplay. Players can choose to share their mastery and experience of the game through Twitter. A Slower Speed of Light combines accessible gameplay and a fantasy setting with theoretical and computational physics research to deliver an engaging and pedagogically rich experience.,
1227,Adaptive Literature,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1228,Airway Ex,Apple App Store,Tristen,TRUE,,https://www.levelex.com/games/,,,Level Ex,Y,Y,N,Biology,Anesthesiology,Medicine,Biology,Undergraduate/Graduate,,Free,Puzzle,Singleplayer,,,3D,Y,IOS/Android,N,N,,
1229,Ambigrams,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1230,Ancestors,Steam,Tristen,TRUE,,https://store.privatedivision.com/game/ancestors-buy-official-pc-xbox-one-ps4,2019,Panache Digital Games,Private Division,N,Y,N,Biology,Biology,History,,Undefined,,$39.99 ,,Multiplayer,Action/Adventure/Indie/RPG,,3D,Y,PC/PS4/Xbox One,,Y,Largely unintentional in education,
1231,Angles++ the Revolution,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,UC,ThinkZone,NA,Y,Y,N,,,,,NA,,UC,GamePlay,Singleplayer,,UC,UC,Y,Online ,,N,,
1232,Animaniacs Game Pack,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1233,Antlantis Remixed,E-Line Media,Tristen,FALSE,Unreleased,https://elinemedia.com/projects/,,,,,Y,,,,,,,,,,,,,,,,,,,
1234,Aquapressure,MIT Game Lab,Tristen,TRUE,,http://gamelab.mit.edu/games/,2020,MIT Game Lab,NA,Y,Y,N,Physics,Physics,Calculus,,Undergraduate,MIT,Free,Singleplayer,Educational,UC,20 Minute,PC,N,,,N,Games-based Assessment for Executive Functions,
1235,Areas and Volumes,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,UC,ThinkZone,Na,Y,Y,N,,,,,NA,,UC,GamePlay,Singleplayer,,UC,UC,Y,Online ,,N,,
1236,Argument Wars,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1237,Artists Timeline,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1238,Assist Ants,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1239,Atomic Orbitals,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,UC,ThinkZone,NA,Y,Y,N,,,,,NA,,UC,GamePlay,Singleplayer,,UC,UC,Y,Online ,,N,,
1240,Barbie Beauty Boutique,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1241,Barbie Horse Adventures: Wild Horse Rescue,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1242,Beyond Blue,E-Line Media,Tristen,TRUE,,https://www.beyondbluegame.com/,2020,E-Line Media,,N,Y,N,Biology,Marine Biology,,,Undefined,N/A,$19.99 ,Underwater++ Adventure++ Exploration++ Indie,Singleplayer,3D,,3D,Y,PC/Xbox One/PS4/Nintendo Switch,,Turkish,,
1243,Big Numbers,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,UC,ThinkZone,NA,Y,Y,N,,,,,NA,,UC,GamePlay,single,,UC,UC,Y,Online ,,N,,
1244,Blood Typing,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/bloodtypinggame/index.php,,2021,Nobel Media,N,Y,N,Biology,Biology,,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1245,Books by You: Create and Publish Your Own Books,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
